PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,EFFECTIVE
116,1.0,116,19.0,1.0,10.0,1.010.0,0.0,Pass,TWINS OPEN HARD,POWER BOOT,No
117,2.0,117,19.0,2.0,10.0,2.010.0,0.0,Run,JOKER,QB COUNTER,No
118,3.0,118,19.0,3.0,10.0,3.010.0,2.0,Pass,QUADS,5ST,No
126,1.0,126,-1.0,1.0,10.0,1.010.0,3.0,Run,SPREAD BONE T OVER,G POWER,No
127,2.0,127,-4.0,2.0,7.0,2.07.0,2.0,Run,SPREAD BONE T OVER,POWER,No
128,3.0,128,-6.0,3.0,5.0,3.05.0,-2.0,Pass,QUEENS OPEN,SPRINT,No
129,3.0,129,-4.0,3.0,7.0,3.07.0,2.0,Pass,QUEENS OPEN,5ST,No
134,1.0,134,-28.0,1.0,10.0,1.010.0,0.0,Run,TWINS OPEN SOFT,POWER 3,No
135,2.0,135,-28.0,2.0,10.0,2.010.0,8.0,Run,JOKER,JET RD,Yes
136,3.0,136,-36.0,3.0,2.0,3.02.0,3.0,Run,TWINS OPEN HARD,QB POWER,Yes
137,1.0,137,-39.0,1.0,10.0,1.010.0,-4.0,Pass,QUEENS OPEN,5ST,No
138,2.0,138,-35.0,2.0,14.0,2.014.0,0.0,Pass,TWINS OPEN HARD,POWER BOOT,No
139,3.0,139,-35.0,3.0,14.0,3.014.0,11.0,Pass,TWINS OPEN HARD,5ST,Yes
140,4.0,140,-46.0,4.0,3.0,4.03.0,2.0,Pass,QUEENS OPEN,3ST,Yes
145,1.0,145,-15.0,1.0,10.0,1.010.0,-2.0,Pass,QUADS,3ST,No
146,2.0,146,-4.0,2.0,17.0,2.017.0,6.0,Run,QUADS,QB POWER,No
147,3.0,147,-10.0,3.0,11.0,3.011.0,13.0,Pass,QUADS,5ST,Yes
148,1.0,148,-23.0,1.0,10.0,1.010.0,0.0,Pass,QUADS,5ST,No
149,2.0,149,-23.0,2.0,10.0,2.010.0,2.0,Pass,QUADS,3ST,No
150,3.0,150,-25.0,3.0,8.0,3.08.0,2.0,Pass,QUADS,5ST,No
151,4.0,151,-27.0,4.0,6.0,4.06.0,2.0,Pass,QUADS,5ST,No
2,1.0,2,-26.0,1.0,10.0,1.010.0,0.0,2.0,QUADS,IZ 3,No
3,2.0,3,-26.0,2.0,10.0,2.010.0,-2.0,2.0,SPREAD,2.0,No
4,3.0,4,-24.0,3.0,12.0,3.012.0,2.0,2.0,QUEENS OPEN,SPRINT DRAW,No
10,1.0,10,-12.0,1.0,10.0,1.010.0,-5.0,2.0,QUADS,X TUNNEL,No
11,2.0,11,-7.0,2.0,15.0,2.015.0,2.0,2.0,QUADS,2.0,No
12,3.0,12,-9.0,3.0,13.0,3.013.0,2.0,2.0,QUADS,3 ST,No
14,1.0,14,-24.0,1.0,10.0,1.010.0,1.0,2.0,QUADS,IZ 3,No
15,2.0,15,-25.0,2.0,9.0,2.09.0,15.0,2.0,QUADS,SPRINT,Yes
16,1.0,16,-40.0,1.0,10.0,1.010.0,0.0,2.0,QUADS,NO PLAY,No
17,1.0,17,-40.0,1.0,10.0,1.010.0,0.0,2.0,QUADS,PA 5 ST,No
18,2.0,18,-40.0,2.0,10.0,2.010.0,40.0,2.0,QUEENS OPEN,POWER RD,Yes
19,1.0,19,20.0,1.0,10.0,1.010.0,0.0,2.0,QUEENS OPEN,5 ST,No
20,2.0,20,11.0,2.0,1.0,2.01.0,0.0,2.0,QUEENS OPEN,3 ST,No
21,3.0,21,11.0,3.0,1.0,3.01.0,0.0,2.0,QUEENS OPEN,POWER RD,No
22,4.0,22,11.0,4.0,1.0,4.01.0,2.0,2.0,TWINS OPEN SOFTER,VEGAS,Yes
23,1.0,23,10.0,1.0,10.0,1.010.0,1.0,2.0,SPREAD,SPRINT,No
24,2.0,24,9.0,2.0,9.0,2.09.0,-11.0,2.0,QUADS,JET SWEEP,No
25,3.0,25,20.0,3.0,20.0,3.020.0,0.0,2.0,QUADS,NO PLAY,No
26,3.0,26,20.0,3.0,20.0,3.020.0,2.0,2.0,KINGS OPEN,SPRINT THROWBACK,No
37,1.0,37,-25.0,1.0,5.0,1.05.0,0.0,2.0,MICKEY MOUSE,SPOT SCREEN,No
38,2.0,38,-25.0,2.0,5.0,2.05.0,-5.0,2.0,TWINS OPEN SOFTER,NAKED BOOT,No
39,3.0,39,-20.0,3.0,10.0,3.010.0,2.0,2.0,QUADS,RB SCREEN,No
49,1.0,49,-10.0,1.0,10.0,1.010.0,-5.0,2.0,QUEENS OPEN,JET SWEEP,No
50,2.0,50,-5.0,2.0,15.0,2.015.0,0.0,2.0,TWINS OPEN HARDER,SPRINT,No
63,1.0,63,-21.0,1.0,10.0,1.010.0,2.0,2.0,TWINS OPEN HARDER,SPLIT ZONE,No
67,1.0,67,-32.0,1.0,10.0,1.010.0,2.0,2.0,SPREAD,3 ST,No
68,2.0,68,-34.0,2.0,8.0,2.08.0,-1.0,2.0,KINGS OPEN,IZ 3,No
69,3.0,69,-33.0,3.0,9.0,3.09.0,2.0,2.0,TWINS OPEN SOFTER,5 ST,No
75,1.0,75,-15.0,1.0,10.0,1.010.0,2.0,2.0,QUADS,JET SWEEP REVERSE,No
78,1.0,78,-24.0,1.0,10.0,1.010.0,1.0,2.0,TWINS OPEN HARDER,SPLIT IZ,No
79,2.0,79,-25.0,2.0,9.0,2.09.0,6.0,2.0,KINGS OPEN,IZ 3,Yes
80,3.0,80,-31.0,3.0,3.0,3.03.0,11.0,2.0,SPREAD,3 ST,Yes
81,1.0,81,-42.0,1.0,10.0,1.010.0,-7.0,2.0,SPREAD,3 ST,No
82,2.0,82,-35.0,2.0,17.0,2.017.0,-20.0,2.0,TWINS OPEN SOFTER,5 ST,No
83,3.0,83,-15.0,3.0,37.0,3.037.0,0.0,2.0,ACES,IZ,No
101,1.0,101,-26.0,1.0,10.0,1.010.0,1.0,2.0,KINGS OPEN,IZ,No
102,2.0,102,-27.0,2.0,9.0,2.09.0,6.0,2.0,TWINS OPEN SOFTER,POWER RD,Yes
103,3.0,103,-33.0,3.0,3.0,3.03.0,2.0,2.0,TWINS OPEN HARDER,SPLIT IZ,Yes
110,1.0,110,-43.0,1.0,10.0,1.010.0,0.0,2.0,KINGS OPEN,S TUNNEL,No
111,2.0,111,-43.0,2.0,10.0,2.010.0,0.0,2.0,TWINS OPEN HARDER,SPRINT,No
112,3.0,112,-43.0,3.0,10.0,3.010.0,2.0,2.0,QUADS,RB SCREEN,No
125,1.0,125,-29.0,1.0,10.0,1.010.0,1.0,2.0,ACES,IZ,No
126,2.0,126,-30.0,2.0,9.0,2.09.0,3.0,2.0,KINGS OPEN,3 ST,No
127,3.0,127,-33.0,3.0,6.0,3.06.0,2.0,2.0,QUEENS OPEN,5 ST,No
138,1.0,138,-41.0,1.0,10.0,1.010.0,18.0,2.0,KINGS OPEN,3 ST,Yes
139,2.0,139,-41.0,2.0,10.0,2.010.0,6.0,2.0,SPREAD,POWER RD,Yes
140,3.0,140,-47.0,3.0,4.0,3.04.0,3.0,2.0,SPREAD,3 ST,Yes
141,4.0,141,50.0,4.0,1.0,4.01.0,2.0,2.0,TWINS OPEN SOFTER,JET RD,Yes
149,1.0,149,-23.0,1.0,10.0,1.010.0,-7.0,2.0,KINGS OPEN,PA 3 ST,No
150,2.0,150,-16.0,2.0,17.0,2.017.0,1.0,2.0,SPREAD,IZ RD,No
151,3.0,151,-17.0,3.0,16.0,3.016.0,2.0,2.0,SPREAD,5 ST,No
158,1.0,158,-27.0,1.0,10.0,1.010.0,1.0,2.0,TWINS OPEN HARDER,SPLIT IZ,No
159,2.0,159,-28.0,2.0,9.0,2.09.0,-2.0,2.0,SPREAD,JET RD,No
160,3.0,160,-26.0,3.0,11.0,3.011.0,2.0,2.0,TWINS OPEN HARDER,SPRINT,No
